name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_incubation_period,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,characteristics_age_of_molting,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
Bull Trout,North-America,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus confluentus,Invertebrates and fish,Unknown,Unknown,"500,000 to one million",Damage to habitat,Light spots on a dark background,Unknown,4 to 5 months,"Clean, cold water",Carnivore,Unknown,Unknown,Bull Trout,1.0,Unknown,Unknown,Unknown,YellowRedOrangePink,Scales,Unknown,10 to 12 years,30 lbs,37 inches,Unknown,Unknown,Unknown,Otters and osprey,Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Less than 7,Unknown,Unknown,1,0,0,13.5,92.5
Butterfly Fish,Ocean,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Unknown,Chaetodontidae,Small invertebrates and plant matter,Unknown,Solitary/School,unknown,Destruction of coral reefs,Bright colors,Butterflyfish,30 hours,"Coral reefs, mudflats, seagrass beds and lagoons",Omnivore,Unknown,Unknown,Butterfly fish,115.0,Unknown,There are more than 100 different species!,Unknown,YellowRedBlueBlackWhiteOrangeSilver,Scales,Unknown,5-10 years,20-80g,Up to 12 inches,Unknown,Unknown,Unknown,"Fish, Eels, Sharks",Ray-finned fish,Unknown,Elongated nose and bright colours,Unknown,Unknown,200.0,Unknown,Unknown,"Plankton, Coral, Crustaceans",Salt,Unknown,Unknown,Plankton,Unknown,Unknown,8.1 - 8.6,Unknown,Unknown,1,0,0,0.05,15
Carp,Asia,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Unknown,Unknown,"Aquatic plants, insects, crustaceans, worms, and zooplankton",Unknown,School,Unknown,Pollution and habitat change,The small whiskers,Unknown,3-8 days,"Lakes, rivers, and ponds",Omnivore,Unknown,School,Carp,Unkown,Unknown,Unknown,Unknown,BrownBlueBlackWhiteGreenOrangeSilver,Scales,Unknown,Up to 40 years in captivity,Up to 49lbs,35cm (14in) on average,Unknown,Unknown,Unknown,"Birds, aquatic mammals, and other fish",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,11,35
Chimaera,Ocean,Animalia,Chordata,Chondrichthyes,Chimaeraformes,Unknown,Unknown,Chimaeraformes,"Molluscs, crabs, marine worms",Unknown,Unknown,Unknown,Commercial fishing trawlers,"Dead eyes, fleshy snouts","Rabbitfish, rat fish, ghost shark",6-12 months,Deep ocean,Carnivore,Unknown,Unknown,"Chimaera, ghost shar",48.0,Unknown,Unknown,Unknown,BrownGreyWhite,Smooth,Unknown,~30 years,Up to 5 lbs.,1-5 ft.,Unknown,Unknown,Unknown,"Humans, sharks, larger fish",Chimaeraformes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1.125,91
Chinese Paddlefish,Asia,Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Psephurus,Psephurus gladius,Unknown,Unknown,Largely solitary,Unknown,Habitat changes and overfishing,The large paddle-shaped nose,Elephant fish,A few days,Rivers and estuaries,Carnivore,Unknown,Unknown,Chinese paddlefish,1.0,Unknown,Unknown,Unknown,GreySilver,Smooth,Unknown,Unknown,Up to 992lbs,Up to 7m (23ft),Unknown,Unknown,Unknown,Unknown,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, crabs, and shrimp",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,223,350
Chinook Salmon,Ocean,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,"Crustaceans, insects, and other fish",Unknown,School,Millions,"Over fishing, habitat loss, and pollution",The silvery scales,"King salmon, spring salmon, blackmouth, Quinnat salmon, and more",3-5 months,Northern Pacific,Carnivore,Unknown,Unknown,Chinook salmon,1.0,Unknown,Unknown,Unknown,RedBlueWhiteGreenPurpleSilverDull Olive,Scales,Unknown,Up to 7 years,Up to 59kg (130lbs),Up to 1.5m (5ft),Unknown,Unknown,Unknown,"Sharks, orcas, sea lions, birds, and larger fish",Ray-finned fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,29,75
Christmas Island Red Crab,Ocean,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Gecarcoidea,Gecarcoidea natalis,African land snail,"Larva, Megalopa",Solitary,About 44 million,"roadways, yellow crazy ant",Its brilliant red carapace,"Red crab, red land crab",Females brood eggs for a couple of weeks before releasing them into the sea.,rainforest,Omnivore,Unknown,Unknown,"Christmas Island red crab, red land crab",1.0,Indian Ocean islands of Christmas Island and Cocos Island,Unknown,swarm,RedOrange,Shell,Unknown,20-30 years,17 ounces,"Carapace 4.6 inches wide, males larger than females",4-5 years,Unknown,"up to 100,000","Fish, coconut crabs, whale sharks, manta rays and other filter feeders as well as the yellow crazy ant",crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,mature crabs molt once a year,1,0,0,0.47,11.5
Christmas Island Red Crab,Oceania,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Gecarcoidea,Gecarcoidea natalis,African land snail,"Larva, Megalopa",Solitary,About 44 million,"roadways, yellow crazy ant",Its brilliant red carapace,"Red crab, red land crab",Females brood eggs for a couple of weeks before releasing them into the sea.,rainforest,Omnivore,Unknown,Unknown,"Christmas Island red crab, red land crab",1.0,Indian Ocean islands of Christmas Island and Cocos Island,Unknown,swarm,RedOrange,Shell,Unknown,20-30 years,17 ounces,"Carapace 4.6 inches wide, males larger than females",4-5 years,Unknown,"up to 100,000","Fish, coconut crabs, whale sharks, manta rays and other filter feeders as well as the yellow crazy ant",crustacean,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,mature crabs molt once a year,1,0,0,0.47,11.5
Cichlid,Africa,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Herotilapia,Herotilapia multispinosa,"Phytoplankton, zooplankton, mollusks, and other fish",Unknown,SolitarySchool,Unknown,Habitat changes,The exceptionally bright and varied colors,Unknown,A few days or weeks,Lakes and rivers,Omnivore,Unknown,Unknown,Cichlid,Unkown,Unknown,There are more than 2 000 known species!,Unknown,YellowRedBlueBlackWhiteGreenOrangeSilver,Scales,Unknown,Up to 8 years,From less than an ounce to more than 7 pounds,Up to 3 feet,9 months old,Unknown,Unknown,Humans and other fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,200.0,Unknown,High,Unknown,Fresh,Unknown,Unknown,Algae,Unknown,Unknown,7.8-8.5 on average,Unknown,Unknown,1,0,0,1.5,45
Cichlid,Central-America,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Herotilapia,Herotilapia multispinosa,"Phytoplankton, zooplankton, mollusks, and other fish",Unknown,SolitarySchool,Unknown,Habitat changes,The exceptionally bright and varied colors,Unknown,A few days or weeks,Lakes and rivers,Omnivore,Unknown,Unknown,Cichlid,Unkown,Unknown,There are more than 2 000 known species!,Unknown,YellowRedBlueBlackWhiteGreenOrangeSilver,Scales,Unknown,Up to 8 years,From less than an ounce to more than 7 pounds,Up to 3 feet,9 months old,Unknown,Unknown,Humans and other fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,200.0,Unknown,High,Unknown,Fresh,Unknown,Unknown,Algae,Unknown,Unknown,7.8-8.5 on average,Unknown,Unknown,1,0,0,1.5,45
Cichlid,South-America,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Herotilapia,Herotilapia multispinosa,"Phytoplankton, zooplankton, mollusks, and other fish",Unknown,SolitarySchool,Unknown,Habitat changes,The exceptionally bright and varied colors,Unknown,A few days or weeks,Lakes and rivers,Omnivore,Unknown,Unknown,Cichlid,Unkown,Unknown,There are more than 2 000 known species!,Unknown,YellowRedBlueBlackWhiteGreenOrangeSilver,Scales,Unknown,Up to 8 years,From less than an ounce to more than 7 pounds,Up to 3 feet,9 months old,Unknown,Unknown,Humans and other fish,Ray-finned fish,Unknown,Unknown,Unknown,Unknown,200.0,Unknown,High,Unknown,Fresh,Unknown,Unknown,Algae,Unknown,Unknown,7.8-8.5 on average,Unknown,Unknown,1,0,0,1.5,45
Clownfish,Ocean,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Unknown,Unknown,Unknown,School,Unknown,Destruction of coral reef habitats,Unknown,"Anemonefish, false clownfish, false percula",6 to 8 days,Tropical coral reefs,Omnivore,Unknown,Unknown,Clownfish,27.0,Unknown,Also known as the anemonefish!,Unknown,YellowRedBlackWhiteOrange,Scales,Unknown,6 to 10 years,250 grams,10cm - 18cm (4in - 7in),Unknown,Unknown,Unknown,Larger fish,Fish,Unknown,"Coloring and three wide, white bands",Unknown,Unknown,2000.0,Unknown,Unknown,"Zooplankton, phytoplankton",Salt,Unknown,Unknown,Algae,Unknown,Unknown,7.9 - 8.4,Unknown,Unknown,1,0,0,0.25,14
Cobia Fish,Ocean,Animalia,Chordata,Actinopterygii,Carangiformes,Rachycentridae,Rachycentron,Rachycentron canadum,"Fish, crabs, squid",Unknown,Largely solitary,"At least 80,000",Overfishing,Its seven to nine dorsal spines,"Black salmon, black bonito, codfish, black kingfish, prodigal son, crabeater, ling, lemonfish, cabio, sergeant fish, sergeantfish, runner, cubby yew",24 to 36 hours,"Warm to tropical oceans, mangroves, estuaries",Carnivore,Unknown,Unknown,Cobia,1.0,Unknown,Unknown,Unknown,WhiteDark Brown,Scales,Unknown,15 years,Up to 135 pounds,78 inches,Unknown,Unknown,Unknown,"Humans, sharks, mahi-mahi",Fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,30,195
Codfish,Ocean,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Unknown,"Smaller fish, shellfish, crustaceans, worms",Unknown,School,Unknown,Humans,Beloved food around the world,"Cod, codling",8-23 days,Pacific and Atlantic oceans,Carnivore,Unknown,Unknown,"Cod, codfish",3.0,Unknown,Unknown,Unknown,GreenGrey-Brown,Scales,Unknown,15-25 years,33-212lbs (15-96kg),77-200cm (30-79in),Unknown,Unknown,Unknown,Humans,Groundfish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,55.5,143.5
Colossal Squid,Ocean,Animalia,Mollusca,Cephalopoda,Oegopsida,Cranchiidae,Mesonychoteuthis,Mesonychoteuthis hamiltoni,"Fish, squid",Unknown,Unknown,Unknown,Natural predators,Massive size,"Antarctic squid, giant cranch squid",Unknown,ocean,Carnivore,Unknown,Solitary,Colossal squid,Unkown,Unknown,Unknown,Unknown,Pink,Skin,Unknown,Unknown,1300lbs,14m (46ft),Unknown,Unknown,Unknown,Sperm whales,Cephalopod,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, squid",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,585,1400
Conger Eel,Ocean,Animalia,Chordata,Actinopterygii,Anguilliformes,Congridae,Conger,Unknown,"Crustaceans, small fish",Unknown,Unknown,Unknown,Unknown,"Long, thin body and snout","poison eel, conger, dog eel, southern conger, grey eel",Unknown,oceanic,Carnivore,Unknown,Unknown,conger eel,14.0,Unknown,Unknown,Unknown,BrownGreyBlackWhite,Smooth,Unknown,20 years,"10 - 160 lbs average, 350 lbs largest","5 - 6 feet average, 9.8 feet largest",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,38.25,Unknown
Cookiecutter Shark,Ocean,Animalia,Chordata,Chondrichthyes,Squaliformes,Dalatiidae,Isistius,Unknown,"large squid, gonostomatids, crustaceans",Unknown,Solitary,Unknown,Ocean pollution,Cookiecutter sharks glow,Cigar shark,Unknown,Ocean,Carnivore,Unknown,Unknown,Cigar shark,2.0,Unknown,Unknown,Unknown,Brown,Rough,Unknown,Up to 25 years,Unknown,14-22 inches,Unknown,Unknown,Unknown,large sharks and bony fish,Dalatiidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,"Marlin, tuna, other sharks, stingrays, seals and whales",Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,45
Crab,Africa,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crab,Asia,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crab,Central-America,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crab,Eurasia,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crab,Europe,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crab,North-America,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crab,Ocean,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crab,Oceania,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crab,South-America,Animalia,Arthropoda,Malacostraca,Decapoda,Brachyura,Unknown,Brachyura,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coral reefs and coastline,Carnivore,2,Solitary,Unknown,Unkown,Unknown,There are 93 different crab groups,Unknown,BrownRedBlueOrange,Shell,12 mph,1 - 100 years,"100g - 2,000g (3.5oz - 704oz)",1cm - 400cm (0.4in - 157in),Unknown,Unknown,Unknown,Unknown,Arthropod,Unknown,"Hard, armoured shell and eight legs",Unknown,Unknown,Unknown,Unknown,Unknown,"Shrimp, Fish, Mussels",Unknown,Unknown,Unknown,Shrimp,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,1,200.5
Crappie Fish,Ocean,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,Unknown,"Zooplankton, insect, crustaceans, and fish.",Unknown,School,Unknown.,Fishing.,The speckled body.,"White perch, paper mouths, strawberry bass, and more.",2-3 days.,"Rivers, ponds, pools, and lakes.",Omnivore,Unknown,Unknown,Unknown,2.0,Unknown,Unknown,Unknown,BlackWhiteGreenSilver,Scales,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Ray-finned fish.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Fresh,Unknown,Unknown,Unknown,Unknown,Unknown,6-7.5,Unknown,Unknown,1,0,0,Unknown,Unknown
Crucian Carp,Asia,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius carassius,"water fleas, organic detritus, algae, zooplankton, aquatic weeds, small crustaceans, insects, larvae, fish eggs, small fish and small animals living in the lake, pond or river mud",Unknown,School,Abundant,genetic invasion by Prussian carp and goldfish,Unknown,"English carp, golden carp, gibele and Prussian carp",2-3 days,"lakes, ponds, slow-moving rivers",Omnivore,Unknown,Unknown,Crucian carp,1.0,Unknown,Unknown,Unknown,GoldGreen,Scales,2.7 mph,Up to 10 years,4.4lbs to 6.6lbs,6in to 2.1ft (64cm),Unknown,Unknown,Unknown,"Bass, European catfish, European smelt, blue tilapia, snakes, northern pike, Little egret",Cyprinidae - carp,Unknown,"Looks like a big, golden-green goldfish",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,6.5-9.0,Unknown,Unknown,1,0,0,Unknown,64
Crucian Carp,Eurasia,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius carassius,"water fleas, organic detritus, algae, zooplankton, aquatic weeds, small crustaceans, insects, larvae, fish eggs, small fish and small animals living in the lake, pond or river mud",Unknown,School,Abundant,genetic invasion by Prussian carp and goldfish,Unknown,"English carp, golden carp, gibele and Prussian carp",2-3 days,"lakes, ponds, slow-moving rivers",Omnivore,Unknown,Unknown,Crucian carp,1.0,Unknown,Unknown,Unknown,GoldGreen,Scales,2.7 mph,Up to 10 years,4.4lbs to 6.6lbs,6in to 2.1ft (64cm),Unknown,Unknown,Unknown,"Bass, European catfish, European smelt, blue tilapia, snakes, northern pike, Little egret",Cyprinidae - carp,Unknown,"Looks like a big, golden-green goldfish",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,6.5-9.0,Unknown,Unknown,1,0,0,Unknown,64
Crucian Carp,Europe,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius carassius,"water fleas, organic detritus, algae, zooplankton, aquatic weeds, small crustaceans, insects, larvae, fish eggs, small fish and small animals living in the lake, pond or river mud",Unknown,School,Abundant,genetic invasion by Prussian carp and goldfish,Unknown,"English carp, golden carp, gibele and Prussian carp",2-3 days,"lakes, ponds, slow-moving rivers",Omnivore,Unknown,Unknown,Crucian carp,1.0,Unknown,Unknown,Unknown,GoldGreen,Scales,2.7 mph,Up to 10 years,4.4lbs to 6.6lbs,6in to 2.1ft (64cm),Unknown,Unknown,Unknown,"Bass, European catfish, European smelt, blue tilapia, snakes, northern pike, Little egret",Cyprinidae - carp,Unknown,"Looks like a big, golden-green goldfish",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.0,6.5-9.0,Unknown,Unknown,1,0,0,Unknown,64
Cuttlefish,Ocean,Animalia,Mollusca,Cephalopoda,Decapodiformes,Sepiida,Unknown,Sepiida,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Coastal and deeper waters,Carnivore,200,Unknown,Cuttlefish,120.0,Worldwide,Found throughout the world's oceans!,Unknown,BrownYellowRedBlueWhiteGreenOrangePink,Smooth,Unknown,Unknown,3kg - 10.5kg (6.6lbs - 23lbs),15cm - 50cm (5.9in - 20in),Unknown,Unknown,Unknown,"Fish, Sharks, Cuttlefish",Unknown,Unknown,Long body shape and large eyes,Unknown,Unknown,Unknown,Unknown,Unknown,"Crab, Shrimp, Fish",Unknown,Unknown,Unknown,Crab,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,Unknown,32.5
