name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,domesticos,protegidos,exoticos,peso_en_kg,altura_cm
King Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis elapsoides,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,3-29 eggs,Unknown,Kingsnake,Unkown,Unknown,Unknown,Unknown,BrownYellowRedBlackWhite,Unknown,Unknown,10-15 years,Unknown,36-60 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,226.796185,228.6
Moccasin Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,Agkistrodon piscivorus,"Fish, turtles, frogs, birds",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,2-15,Unknown,Moccasin,Unkown,Unknown,Unknown,Unknown,BrownYellowBlackTan,Unknown,Unknown,20 to 25 years,Unknown,30-42 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,65.0,228.6
Green Tree Python,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Squamata,Pythonidae,Morelia,Morelia viridis,primarily lizards and rodents,Unknown,Solitary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Green tree python, southern green python",Unkown,Unknown,Unknown,Unknown,YellowWhiteGreen,Scales,Unknown,"average 15-19 years (wild), 20.6 years (captivity)",Unknown,"5 feet (average), 7.2 feet (maximum recorded)",Unknown,Unknown,6-32 eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.0425242388161251,15.24
Agama Lizard,['Africa'],Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,Unknown,"Insects, reptiles, small mammals.",Hatchlings,Group,Unknown,Habitat loss,The bright blue or red colors of the dominant male.,Dragon lizards,8-10 weeks,"Forests, deserts, plains, and urban areas",Omnivore,Unknown,Unknown,Agama,Unkown,Sub-Saharan Africa,Unknown,Unknown,BrownBlueBlackWhiteGreen,Scales,Unknown,Up to 25 years,About 1kg (2lbs),12-30cm (5-12in),1-2 years,Unknown,5-7 eggs,"Snakes, birds, and small mammals",Lizards,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, reptiles, small mammals, flowers, grasses, and fruits",Unknown,Unknown,1,0,0,0.0425242388161251,15.24
Midget Faded Rattlesnake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. concolor,"small mammals, lizards, birds",Neonate,Mainly solitaryCommunal Dens,Unknown,Human encounters,Generally faded coloration in the adults.,"Horseshoe rattlesnake, yellow rattlesnake, faded rattlesnake",4 months,"rock outcrops, sagebrush, high desert.",Carnivore,Unknown,DiurnalCrepuscular,Unknown,Unkown,Unknown,Unknown,Unknown,BrownGreyYellowSilver,Scales,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3-5,"owls, hawks, coyotes",Unknown,Unknown,Rattle,"Mellow, non-aggressive",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,mice,Unknown,1.0,1,0,0,18.0,55.0
Eastern Rat snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,Pantherophis alleghaniensis,"Rodents, eggs, birds",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Eastern rat snake, black rat snake, chicken snake",Unkown,Unknown,Unknown,Unknown,GreyYellowBlackTanOrange,Scales,Unknown,10-15 years,Unknown,36 to 72 inches,Unknown,Unknown,12-20,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,150.5,
Habu Snake,['Asia'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Protobothrops or Trimeresurus,Protobothrops flavoiridis,"Small mammals, snakes, frogs, and birds",Snakelets or neonates,Unknown,Unknown,Unknown,Unknown,"Okinawa Habu, Kume Shima Habu",Unknown,The transitional zone between cultivated fields and palm forests,Carnivore,Unknown,Unknown,Habu Snake,Unkown,Unknown,Unknown,Unknown,YellowGreen,Scales,Unknown,7 to 10 years,Unknown,4 to 8 feet,Unknown,Unknown,1 - 18 snakelets,Humans and Asian mongoose,Unknown,Unknown,Unknown,Aggressive,Unknown,Unknown,Unknown,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Mice and rats,Unknown,Unknown,1,0,0,150.5,
Banded Water Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia fasciata,"Frogs, fish and birds",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,water snake,Unkown,Unknown,Unknown,Unknown,BrownGreyRedOlive,Scales,Unknown,Three years in captivity; eight in the wild,Unknown,two to five feet,Unknown,Unknown,8–40,Unknown,reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,150.5,
Western Hognose Snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Heteredon,Heteredon nasicus,"Rodents, lizards, eggs, amphibians",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Blow snake, hognose snake, faux viper",Unkown,Unknown,Unknown,Unknown,GreyYellowBlackTanDark Brown,Scales,Unknown,"10-20 years (wild), 15-20 years (captivity)",Unknown,2-3 feet,Unknown,Unknown,12-15,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,150.5,
Red Diamondback Rattlesnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,C. ruber,"mice, rats, rabbits, squirrels, lizards, snakes",neonate,Solitary,Unknown,"Habitat destruction, juveniles are susceptible to predation by roadrunners, other snakes, owls.",Rattle and black & white bands on tail,"Red diamond rattlesnake, red rattlesnake, red diamond snake, red diamond-backed rattlesnake, red rattler, and western diamond rattlesnake.",Unknown,"coastal scrub brush, desert",Carnivore,5-15,NocturnalDiurnal,Red diamond rattlesnake,Unkown,"Baja California and southwestern California, US",Unknown,Unknown,GreyRedLight-Brown,Scales,Unknown,13-15 years,Unknown,Unknown,Unknown,Unknown,up to 25,"owls, roadrunners, king snakes",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,rodents,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,150.5,
Russian Tortoise,"['Asia', 'Eurasia']",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Agrionemys,Agrionemys horsfieldii,Unknown,hatchlings,Semi-social,Unknown,Humans,Spiked tail,"Central Asian Tortoise, Afghan Tortoise, Steppe Tortoise",56-84 days,arid steppes,Herbivore,Unknown,Unknown,Russian Tortoise,Unkown,Central Asia,Unknown,Social but territorial,BrownYellowBlackTanGreen,Hard Outer Shell,5 mph,"80 years, 40 years in captivity",0.5-2.5 lbs,5-10 in.,10 yrs,Unknown,five eggs,"Raccoon, fox, coyote",reptile,3-4 in.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"grasses, flowers, leaves and other vegetation",Unknown,Unknown,1,0,0,150.5,
Water Dragon,"['Asia', 'Oceania']",Animalia,Chordata,Reptilia,Squamata,Agamidae,Physignathus,Physignathus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Creeks, rivers and lakes",Omnivore,Unknown,Solitary,Unknown,Unkown,Unknown,Spends most of it's time in the trees!,Unknown,BrownYellowBlackTanGreen,Scales,30 mph,10-20 years,0.5-1kg (1.1-2.2lbs),Unknown,Unknown,Unknown,Unknown,"Snakes, Birds, Mammals",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12.0,"Fish, Rodents, Insects",Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,1,0,0,150.5,
Bearded Dragon,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Agamidae,Pogona,Pogona Vitticeps,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Arid forest and desert,Omnivore,15,Solitary,Unknown,Unkown,Unknown,Can grow to up 24 inches long!,Unknown,BrownGreyYellowGreen,Scales,25 mph,6 - 15 years,250g - 510g (9oz - 18oz),50cm - 61cm (20in - 24in),Unknown,Unknown,Unknown,"Birds, Snakes, Crocodiles",Reptile,Unknown,Pronounced beard when scared and morphs skin colour,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Mice, Leaves",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,150.5,
Northern Alligator Lizard,['North-America'],Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,Elgaria coerulea,"Meal worms, crickets, spiders, baby mice",Baby,Solitary,"10,000 plus mature adults",Habitat loss,Very long tail,Unknown,Approximately 11 weeks,Unknown,Omnivore,Unknown,Unknown,Northern alligator lizard,Unkown,"California, Oregon, Washington State, Montana, Idaho, British Columbia",Unknown,Unknown,BrownGreyBlack,Scales,Unknown,10 years,Around 1 ounce,3in-4in body,18 months,Unknown,Up to 15,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,283.464
Brookesia Micra,['Africa'],Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Brookesia,Brookesia micra,insects,hatchling,Solitary,"70,000 to 95,000",Habitat destruction,Its tiny size.,"Nosy Hara leaf chameleon, leaf chameleon, stump-tailed chameleon",Three months,dry forest,Carnivore,Unknown,Unknown,Unknown,1.0,Madagascar,Unknown,solitary,BrownOrange,Scales,Unknown,"10 years in captivity, unknown in the wild",Only 0.006 to 0.0074 ounces,1.1 inches,Unknown,Unknown,1-2 hatchlings,"Birds, frogs, small mammals, larger chameleons",reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,46.99
Ground Snake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Squamat,Colubridae,Sonora,Sonora semiannulata,"Centipedes, crickets, spiders, insect larvae","snakelets, hatchlings",Unknown,"100,000",Larger snakes,A thick head," Common ground snake, variable ground snake, and the miter snake",Unknown,"These snakes live in a rocky hillside habitat where they can burrow into the loose, sandy ground.",Omnivore,Unknown,Unknown,Western Ground Snake,1.0,Unknown,Unknown,Unknown,BrownGreyRedBlackWhiteOrange,Scales,Unknown,15 - 20 years,Unknown,"An average of 8 inches, but they can reach up to 20 inches long",Unknown,Unknown,Unknown,"Larger snakes, including rattlesnakes (sidewinders)",Unknown,Unknown,"Color patterns, including orange, red or brown with horizontal black bands, can vary widely, making it difficult to identify two individuals as the same type of snake!","Shy, non-aggressive",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,198.12
Freshwater Crocodile,['Oceania'],Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Crocodylus johnstoni,"Insects, fish, crustaceans, spiders, lizards, birds, snakes, frogs, turtles, bats and small mammals.",Hatchling,Social,"Less than 100,000 but its conservation status is least concern.","Cane toads, habitat destruction",Its narrow snout,"Freshie, Johnstone’s crocodile, Australian freshwater crocodile, Johnstone River Crocodile, Johnson's Crocodile, Johnstone's Crocodile",65 to 95 days,"Rivers, billabongs, swamps, lagoons, other bodies of fresh water",Carnivore,Unknown,Unknown,Freshwater crocodile,1.0,Northern Australia,Unknown,"Bask, nest",GreyDark BrownDull OliveLight-Brown,Plate-like scales,10.56 mph,Lifespan usually 40 to 60 years but some have reached 100 years,"159 pounds for males, 88 pounds for females","7.5 to 9.75 feet for males, 6.9 feet for females","17 to 20 years for males, 15 to 20 years for females",Unknown,13 to 20,"Feral pigs and monitor lizards eat the eggs, olive pythons may eat smaller individuals",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,38.0,2.0
Snapping Turtle,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Testudines,Chelydridae,Chelydra,Chelydridae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Slow rivers, lakes and marshland",Omnivore,35,Solitary,Unknown,Unkown,Unknown,Only found in North America!,Unknown,BrownBlackTan,Scales,2.4 mph,30-45 years,16-136kg (35-300lbs),Unknown,Unknown,Unknown,Unknown,"Human, Raccoon, Alligator",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fish, Birds, Frogs",Unknown,Unknown,Unknown,Unknown,Fish,Unknown,Unknown,1,0,0,,68.58
Horned Adder,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,B. caudalis,"Lizards such as geckos, small mammals and birds.",Unknown,Solitary,Unknown,"Agricultural and commercial development, overgrazing, roadways.",Single scale above the eye that creates a horn.,"Horned viper, horned puff adder, Horingadder, Horingsman (Afrikaans)",Unknown,"Wide range of habitats, but prefers more arid conditions where there's loose sand to bury themselves in.",Carnivore,Unknown,Nocturnal,"Horned adder, Horingadder, Horingsman (Afrikaans), horned viper.",1.0,Unknown,Unknown,Unknown,BrownGreyYellowFawnRed,Scales,Unknown,Unknown,Unknown,"12-15 inches, but can reach 20 inches long in the wild.",Unknown,Unknown,4-19,"Birds of prey, larger mammals.",Unknown,Unknown,Unknown,Relatively mellow.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,6.0
Satanic leaf-tailed gecko,['Africa'],Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,Uroplatus phantasticus,Insects and small invertebrates,Hatchling,Solitary,"Unknown, conservation status is Least Concern","Habitat loss, illegal pet trade",Its amazing camouflage,"Eyelash leaf-tailed gecko, phantastic leaf-tailed gecko",90 to 120 days,Tropical forests,Carnivore,Unknown,Unknown,Satanic Leaf-tailed Gecko,1.0,Madagascar,Unknown,Unknown,BrownTanOrangePurple,Scales,Unknown,Unknown,"0.14 to 0.32 ounces, females heavier","3.5 inches, plus tail",Five to six months,Unknown,Two to three per clutch,"Snakes and rats, perhaps birds",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,0.021,24.0
Nile Crocodile,['Africa'],Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Crocodylus niloticus,"Fish, hippos, zebras, other crocodiles, birds",Hatchling,Solitary,"50,000-70,000 mature adults",Poaching,Large size,Nile croc,84 to 90 days,"Mangrove swamps, rivers, freshwater marshes",Carnivore,Unknown,Unknown,Nile Crocodile,2.0,Africa,Unknown,Unknown,Dark BrownOlive,Scales,22 mph,45 years,"500lbs-1,650lbs",16ft-20ft,"Males-relates to their size, Females-10 years old",Right after hatching,25-80,Humans,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,106.68
Gopher Tortoise,['North-America'],Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,Gopherus polyphemus,Insects (occasionally),"neonate, hatchling",Solitary/Group,"700,000",habitat destruction,Front legs resembling shovels,Florida gopher tortoise,90 days,"Pine Flatwoods, Pine-Oak sandhills, Rocklands, grasslands",Herbivore,Unknown,Unknown,gopher tortoise,1.0,southeastern United States,Unknown,"colony, pod",BrownYellowGrey-Brown,Leather,4.9 mph,40-60 years,8-15lbs,9in-11in,9-21 years,3-5 days,1-23,"humans, birds of prey, cats and dogs, coyotes, raccoons, wild boars, bobcats",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,3.0,21.0
Kirtland’s snake,['North-America'],Animalia,Chordata,Reptilia,Squamata,Colubridae,Clonophis,Clonophis kirtlandii,"Earthworms, slugs, small reptiles, and frogs",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,Kirtland’s Water Snake,Unkown,Unknown,Unknown,Unknown,BrownRedDark BrownOrangePink,Scales,Unknown,Unknown,Unknown,14-28 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,3.0,21.0
Prairie Rattlesnake,"['Central-America', 'North-America']",Animalia,Chordata,Reptilia,Unknown,Viperidae,Unknown,Crotalus viridis,"mice, rats, rabbits, birds, prairie dogs",hatchling,Solitary,"100,000",habitat loss and intentional persecution,tail rattle,"Western rattlesnake, Great Plains rattlesnake",3-4 months,"grasslands, plains, foothills, and mountains",Carnivore,25,Solitary,Prairie rattlesnake,32.0,Unknown,Unknown,Unknown,BrownGreyGreen,Scales,18 mph,Unknown,Unknown,Unknown,Unknown,Unknown,25,"Coyotes, hawks, eagles, foxes, and king snakes",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Western United States,Unknown,1,0,0,,
Chameleon,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Unknown,Chamaeleonidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Tropical forests and desert,Omnivore,Unknown,Solitary,Unknown,Unkown,Unknown,There are more than 160 different species!,Unknown,BrownYellowRedBlackTanGreen,Scales,21 mph,4 - 8 years,0.01kg - 2kg (0.02lbs - 4.4lbs),2.8cm - 68.5cm (1.1in - 27in),Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Exceptional vision and ability to change skin colour,Unknown,Unknown,Unknown,Unknown,Unknown,20.0,"Insects, Snails, Leaves",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,,99.06
Carpet Viper,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Echis,Unknown,"Insects, slugs, worms, scorpions, reptiles, amphibians, birds and small mammals.",Unknown,Solitary,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,Unknown,Unknown,"Carpet viper, saw-scaled viper and others",Unkown,Unknown,Unknown,Unknown,BrownGreyDark BrownOrangeLight-Brown,Scales,Unknown,About 24 years,Unknown,12 to 35 inches,Unknown,Unknown,3 to 23,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,99.06
Virgin Islands Dwarf Gecko,['North-America'],Animalia,Chordata,Reptilia,Squamata,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus parthenopion,Insects,Hatchlings,Solitary,Unknown,Unknown,The small size,Virgin Islands Dwarf Sphaero and Virgin Gorda Least Gecko,Unknown,Scrub forests,Carnivore,Unknown,Unknown,Virgin Islands Dwarf Gecko,1.0,British Virgin Islands,Unknown,Unknown,BrownYellow,Scales,Unknown,Unknown,0.15g (0.0053oz),"18mm (0.7in), excluding tail",Unknown,Unknown,A few eggs,"Snakes, birds, and small mammals",Reptile,2mm (0.08in),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,91.44
Green Mamba,['Africa'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Dendroaspis,Unknown,"Birds, their eggs, small bats, and lizards",Hatchling,Solitary,Unknown,Unknown,"Bright, velvety-green, juveniles are often turquoise. Western: Bright green fading to yellow in their long tail, with black margins between their scales.",Unknown,Unknown,Unknown,Carnivore,Unknown,Diurnal,"Eastern Green Mamba: green mamba, mamba, groenmamba, common Mamba, East African green mamba, or white mouthed mamba. Western Green Mamba: Hallowell’s green mamba, green mamba, mamba",2.0,Unknown,Unknown,Unknown,Green,Scales,7 mph,12-14 years,Unknown,4-7 Feet,Unknown,Unknown,Unknown,"Black-headed heron, birds of prey.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Birds and their eggs,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,137.16
Fierce Snake,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Oxyuranus,Oxyuranus microlepidotus,Rats and other small mammals,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,12-24,Unknown,Inland taipan,Unkown,Unknown,Unknown,Unknown,BrownBlack,Unknown,Unknown,10-15 years,Unknown,5 feet,Unknown,Unknown,Unknown,King brown snake,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,137.16
Asp,['Europe'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Vipera,Vipera aspis,"Rodents, birds, lizards",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,European asp,Unkown,Unknown,Unknown,Unknown,BrownGreyOrange,Unknown,Unknown,15 to 20 years,Unknown,2 to 3 feet,Unknown,Unknown,5 to 12,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,,207.264
Night Adder,['Africa'],Animalia,Chordata,Reptilia,Squamata,Viperidae,Causus,Unknown,Frogs and toads,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,About 24 eggs,Unknown,Night Adder,Unkown,Unknown,Unknown,Unknown,BrownBlack-Brown,Unknown,Unknown,10 years on average,Unknown,Up to 3.3 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,83.5,
Crocodile,"['Africa', 'Asia', 'Central-America', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Crocodylus acutus,"Fish, crustaceans, deer, buffalo",Hatchling,Social,Unknown,Habitat loss and hunting,Eyes and nostrils located on top of the head and snout,"American crocodile, Orinoco crocodile, Freshwater crocodile, Philippine crocodile, Mexican crocodile, Nile crocodile, New Guinea crocodile, Mugger crocodile, Estuarine crocodile, Cuban crocodile, Siamese crocodile, Dwarf crocodile, Slender-snouted crocodile",Unknown,"Rivers, lakes, marshes, lagoons, mangrove swamps and estuaries",Carnivore,Unknown,Nocturnal,"Crocodile, Croc",13.0,"North, Central and South America, Africa, Asia, Australia",Have changed little in 200 million years!,Reptile,BrownGreyBlackDull Olive,Plate-like scales,25 mph,20 - 70 years,"18kg - 1,000kg (40lbs - 2,200lbs)",1.7m - 7m (5.5ft - 23ft),4 - 12 years,Unknown,Unknown,"Humans, Large felines, Birds of prey",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3 months,Unknown,Unknown,Unknown,Unknown,1 - 2 years,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,83.5,
Eastern Brown Snake,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Elapidae,Pseudonaja,Pseudonaja textilis,Rodents,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Carnivore,10 to 35,Unknown,Common brown snake,Unkown,Unknown,Unknown,Unknown,Brown,Unknown,Unknown,10 to 20 years,Unknown,5 to 7 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1,0,0,83.5,
Tortoise,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Reptilia,Testudines,Testudinidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sandy soil close to water,Herbivore,5,Solitary,Unknown,Unkown,Unknown,Can live until they are more than 150 years old!,Unknown,BrownGreyYellowBlackGreen,Scales,0.3 mph,30-150 years,0.1-300kg (0.2-661lbs),Unknown,Unknown,Unknown,Unknown,Unknown,Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Grass, Weeds, Leafy greens",Unknown,Unknown,Unknown,Unknown,Grass,Unknown,Unknown,1,0,0,,88.392
Iguana,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Iguanidae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lowland tropical rainforest near water,Omnivore,3,Solitary,Unknown,Unkown,Unknown,Uses visual signals to communicate!,Unknown,BrownYellowGreen,Scales,21 mph,15-20 years,4-8kg (8.8-17.6lbs),Unknown,Unknown,Unknown,Unknown,"Hawk, Eagle, Snakes",Reptile,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Insects, Fruit, Leaves",Unknown,Unknown,Unknown,Unknown,Insects,Unknown,Unknown,1,0,0,,228.6
