name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features
Caracal,"['Africa', 'Asia']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Caracal,Caracal Caracal,,,,,,,,,Dry woodland and savannah,Carnivore,3,Solitary,,,,Has 20 different muscles in it's ears!,,BrownBlackTan,Fur,50 mph,12 - 15 years,11kg - 18kg (24lbs - 40lbs),,,,,"Human, Hyena, Lions",Mammal,65cm - 90cm (2ft - 3ft),"Long, black ear tufts and short fur",,,,,,,,,"Hares, Mice, Antelope",,,,,,Hares,,,,
Caribou,"['Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,,Calves,Herd,About 5 million,"Wolves, Grizzly bears, and disease",Antlers,"Reindeer, rangifer tarandus, qalipu, tuktu",228 - 234 days,"Tundra, woodland, mountain, forest",Herbivore,,,Caribou or reindeer,9.0,"Canada, Alaska, Russia, Finland, Greenland, the High Arctic islands, Norway, and Iceland",,,BrownGreyWhiteDark Grey,Fur,50 mph,15 years,180 – 701+ lbs. (depending on species),64–84 inches (depending on species),1.5 to 3.5 years,5 to 6 months,1,"Wolves, and Grizzly bears",Mammal,33 – 59 inches (depending on species),,,,,,,,,,,,,,,,"Reindeer Moss, grass, shrubs, leaves, mushrooms, and sedges",,,,
Carolina Dog,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Carolina Dog,,,Wild dog breed discovered in the 1970s!,South,,Hair,,19 years,18kg (40lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Parakeet,['North-America'],Animalia,Chordata,Aves,Psittaciformes,Psittacidae,†Conuropsis,†Conuropsis carolinensis,,,,None,Hunting,The brightly colored plumage,,,Woodlands,Omnivore,,,Carolina Parakeet,1.0,United States,,,YellowBlueGreenOrange,Feathers,,Up to 30 years,280g,12-13 inches,,,,"Birds of prey, raccoons, skunks, squirrels, and snakes",Bird,,,,,21-23in,23 days,,1.0,,,,,,,Hollowed trees,18-19 days,"Fruits, seeds, flowers, and insects",,,,
Carp,['Asia'],Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,,"Aquatic plants, insects, crustaceans, worms, and zooplankton",,School,Unknown,Pollution and habitat change,The small whiskers,,3-8 days,"Lakes, rivers, and ponds",Omnivore,,School,Carp,,,,,BrownBlueBlackWhiteGreenOrangeSilver,Scales,,Up to 40 years in captivity,Up to 49lbs,35cm (14in) on average,,,,"Birds, aquatic mammals, and other fish",Ray-finned fish,,,,,,,,,,,,Fresh,,,,,,,,,
Carpenter Ant,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,,,Colony,,,"As these ants burrow through wood, they leave behind piles of wood shavings that may lead back to the nest.",,,"Near moist, decaying, or hollow wood",Omnivore,,,,,,,,RedBlackDark Brown,Exoskeleton,,,one to five milligrams,6 to 12 mm,,,,"Mammals, amphibians, snakes, lizards, birds, spiders, snails, and other insects.",,,,,,,,,,,,,,,,,,,,,,
Carpet Python,['Oceania'],Animalia,Chordata,Reptilia,Squamata,Boidae,Morelia,Morelia spilota,"Birds, mammals",,,,,,,,,Omnivore,Up to 18 eggs,,Python,,,,,BrownYellowBlack,,,20 years +,,12 feet,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpet Viper,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Echis,,"Insects, slugs, worms, scorpions, reptiles, amphibians, birds and small mammals.",,Solitary,,,,,,,Carnivore,,,"Carpet viper, saw-scaled viper and others",,,,,BrownGreyDark BrownOrangeLight-Brown,Scales,,About 24 years,,12 to 35 inches,,,3 to 23,,,,,,,,,,,,,,,,,,,,,,,
Cascabel,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus durissus,"small rodents, lizards, birds",neonate,Solitary,,,,"South American rattlesnake, tropical rattlesnake, neotropical rattlesnake",,,Carnivore,,NocturnalCrepuscular, South American rattlesnake,6.0,,,,BrownGreyBlackDark Grey,Scales,,10 to 25 years,, 4.9 to 6.2 feet,,,Four to 14,,,,"Diamond pattern, bars and stripes on the head and neck",,,,,,,Yes,Low,,,,,,,,,,,
Cashmere Goat,"['Asia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kid,Sociable,700 million,"Coyotes, disease","Soft, downy fibers of their undercoats",,Five months,"Colder climates in the wild, but since they’ve been domesticated, anywhere",Herbivore,,,,,"Asia, Australia, North America",,,BrownGreyBlackWhite,Hair,10 mph,Between 10 and 12 years,,,Maturity Males reach sexual maturity between 4 and 8 months; females reach sexual maturity between 7 and 10 months,4 months,2,Coyotes,Ruminant,,,,,,,,,,,,,,,,,,,,,
Cassowary,['Oceania'],Animalia,Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,,,,,,,,,,Wet tropical forests,Omnivore,,Solitary,,,,Can reach speeds of 30mph!,,YellowBlueBlackTan,Feathers,31 mph,40 - 60 years,25kg - 58.5kg (55lbs - 129lbs),,,,,"Dingo, Crocodile, Humans",Bird,1.5m - 2m (59in - 79in),Sharp claws and horn-like crest,,,Wings are tiny,49 to 52 days,,5.0,,,"Insects, Grass, Fungi",,,,The ground,9 months,,,,,
Cat-Eyed Snake,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Leptodeira,Leptodeira annulata,"Frogs, lizards, salamanders, fish, and rodents",,,Unknown,Habitat destruction and deforestation,Huge eyes in relation to body size with vertical pupils that resemble a cat's,,,"Grasslands, scrublands, and rainforests throughout the Americas",Carnivore,,,Cat-eyed snake,,,,,BrownGoldOrange,Scales,,Unknown,,Up to five feet stretched out,,,,,,,Blotches or saddle patterns along the back,,,,,,,Yes,Low,,,,,,,,,,,
Catahoula Leopard,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,,,,Omnivore,,,,,,,,YellowRedBlackBrindle,Hair,45 mph,12-14 years,,,,,4-12 puppies,,,,,,,,,,,,,,,,,,,,,,,
Catalan Sheepdog,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,,,,,,,Omnivore,,,,,,,,BrownGreyFawnRedBlackTan,,,13 years,,,,,3-6 puppies,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Lepidoptera,,,,,,,,,,,,Quiet forests and pastures,Herbivore,,,Caterpillar,21000.0,Worldwide,The larvae of a moth or butterfly!,,YellowRedBlueBlackGreenOrange,Hair,,,,,,,,"Birds, Wasps, Mammals",,,,,,,,,,,,"Leaves, Plants, Flowers",,,,,,Leaves,,,,
Catfish,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,,Siluriformes,,,Siluriformes,,,,,,,,,Fast-flowing rivers and lakes,Carnivore,,,,,,"There are nearly 3,000 different species!",,BrownGreyYellowBlackWhiteTan,Scales,,8 - 20 years,,1cm - 270cm (0.4in - 106in),,,,"Large Fish, Birds, Mammals, Reptiles",,,"Flat, broad head and whiskers",,,,,,40.0,,,"Fish, Frogs, Worms",Fresh,,,,,Fish,,,6.5 - 8.0,
Cava Tzu,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteTan,Hair,,,,,,,,,mammal,,,playful and affectionate,,,,,,,,,,,,,,,United Kingdom,,,
Cavador,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownFawnRedBlackCream,Hair,,10-14 years,55 lbs,,,,,,,,,"Friendly, intelligent, and eager to please",,,,,,,,,,,,,,,,,,
Cavalier King Charles Spaniel,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Cavalier King Charles Spaniel,,,Highly playful and affectionate!,Gun Dog,,Hair,,15 years,8kg (18lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavapoo,[],Animalia,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecropia Moth,['North-America'],Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Hyalophora,Hyalophora cecropia,,"Larva, caterpillar",Solitary,"Unknown, its conservation status is not evaluated on the IUCN Red List","Pests, parasites, artificial lights, habitat disruption",Its size,,Two weeks,"Maple, birch and cherry trees in moist areas east of the Rocky Mountains of Canada and the United States.",Omnivore,,,Cecropia moth,1.0,North America,,Solitary,YellowRedWhiteGrey-Brown,Exoskeleton,,Two weeks,0.1 pound,5 to 7 inch wingspan,Shortly after eclosion,,As many as 100 eggs,"squirrels, birds, bats, parasitic wasps and flies","squirrels, birds, bats, parasitic wasps and flies",,,,,,,,,,,,,,,,,,,,,
Chameleon,"['Africa', 'Asia']",Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,,Chamaeleonidae,,,,,,,,,Tropical forests and desert,Omnivore,,Solitary,,,,There are more than 160 different species!,,BrownYellowRedBlackTanGreen,Scales,21 mph,4 - 8 years,0.01kg - 2kg (0.02lbs - 4.4lbs),2.8cm - 68.5cm (1.1in - 27in),,,,,Reptile,,Exceptional vision and ability to change skin colour,,,,,,20.0,,,"Insects, Snails, Leaves",,,,,,Insects,,,,
Chamois,['Europe'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,Rupicapra rupicapra,,,,,,,,,Mountainous and rocky terrain,Herbivore,1,Herd,,,,Natively found in the European mountains!,,BrownGreyBlackWhiteTan,Fur,10 mph,18 - 22 years,50kg - 55kg (110lbs - 121lbs),,,,,"Human, Wolf, Wildcats",Mammal,75cm - 80cm (30in - 31in),Black and white face markings and backward curving horns,,,,,,,,,"Grass, Leaves, Shrubs",,,,,,Grass,,,,
Chartreux,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Feliformia,Felis,Felis catus,,,,,,,,,,Omnivore,,,,,,,,GreyBlue,Hair,,11 to 15 years,seven to 16 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheagle,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,BrownBlackWhiteCream,Hair,,10 and 14 years,20 lbs,,,,,,,,,"Loyal, outgoing, and charismatic",,,,,,,,,,,,,,,,,,
Cheetah,"['Africa', 'Asia', 'Eurasia']",Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,"Gazelle, Wildebeest, Hare",Cub,Solitary/Pairs,"8,500",Habitat loss,Yellowish fur covered in small black spots,,90 days,Open grassland,Carnivore,3,Diurnal,Cheetah,5.0,Asia and Africa,The fastest land mammal in the world!,Mammal,BrownYellowBlackTan,Fur,70 mph,10 - 12 years,40kg - 65kg (88lbs - 140lbs),,20 - 24 months,3 months,,,,115cm - 136cm (45in - 53in),,,,,,,,,,,,,,,,,,,,
Chesapeake Bay Retriever,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Chesapeake Bay Retriever,,,Bright and happy disposition!,Gun Dog,,Hair,,13 years,34kg (75lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickadee,"['Central-America', 'North-America']",Animalia,Chordata,Aves,Passeriformes,Paridae,,,Insects,,,43 million,Habitat loss,"""Cap"" of dark feathers on head","Tit, titmous",,Open woodland,Omnivore,,,Chickadee,7.0,North America,,,GreyBlackWhite,Feathers,12 mph,About 3 years,0.3 to 0.4 oz,About 3 inches,,,4 to 8,Birds of prey,Bird,About 2 inches,,,,6 to 8 inches (15 to 20 cm),12 days,,,,,,,,,Tree Cavity,10 days,"Insects, seeds",,,,
Chicken Snake,"['Central-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Spilotes,Spilotes pullatus,,,,,,,,,,Carnivore,12 to 18,,"Chicken snake, caninana, tiger rat snake, serpiente tigre, clibo",,,,,YellowBlackMulti-colored,,,10 to 18 years,,4 to 7 feet,,,,,,,,,,,,,,No,Medium,,,,,,,,,,,
Chihuahua,['Central-America'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,Omnivore,,,Chihuahua,,,Curious and devoted personality!,South,,Hair,,18 years,2.7kg (6lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimaera,['Ocean'],Animalia,Chordata,Chondrichthyes,Chimaeraformes,,,Chimaeraformes,"Molluscs, crabs, marine worms",,,,Commercial fishing trawlers,"Dead eyes, fleshy snouts","Rabbitfish, rat fish, ghost shark",6-12 months,Deep ocean,Carnivore,,,"Chimaera, ghost shar",48.0,,,,BrownGreyWhite,Smooth,,~30 years,Up to 5 lbs.,1-5 ft.,,,,"Humans, sharks, larger fish",Chimaeraformes,,,,,,,,,,,,Salt,,,,,,,,,
Chimpanzee,['Africa'],Animalia,Chordata,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,"Fruits, Seeds, Insects",Infant,Group,"100,000 - 200,000",Habitat loss,Dexterous hands and feet and complex communication,Common Chimpanzee,8 months,Tropical forest and woody savanna,Omnivore,1,Diurnal,Chimpanzee,2.0,Western and Central Africa,Has 32 teeth including fang-like canines!,Mammal,BrownBlack,Hair,25 mph,50 - 60 years,26kg - 70kg (57lbs - 154lbs),,13 - 16 years,5 - 6 years,,"Leopards, Snakes, Humans",,1m - 1.7m (3.25ft - 5.5ft),,,,,,,,,,,,,,,,,,,,
Chinchilla,['South-America'],Animalia,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla,Chinchilla Lanigera,,,,,,,,,Dry and mountainous regions,Herbivore,3,Solitary,,,,Natively found in the Andes Mountain range!,,BrownGreyBeige,Fur,15 mph,10 - 18 years,400g - 500g (14oz - 18oz),25cm - 35cm (10in - 14in),,,,"Owls, Fox, Cougars",Mammal,,Dense fur and long back legs,,,,,,,,,"Fruit, Nuts, Seeds",,,,,,Fruit,,,,
Chinese Alligator,['Asia'],Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Aliigator sinensis,"Small mammals, water birds, fish, aquatic mollusks; hatchlings eat insects, spiders and other invertebrates.",Hatchling,Sociable,"150, maybe even less than 100; conservation status critically endangered",Humans,Osteoderms on its belly,"China alligator, muddy dragon, Yow Lung, T’o, Yangtze alligator",Females gravid for a little over a month,"Subtropical wetlands, rivers, streams, lakes, ponds and swamps",Carnivore,,,Chinese alligator,1.0,"Yangtze River basin, China",,Congregation,GreyYellowBlack,Boney Plates,35 mph,50 years,80-100 pounds,"4.59-7 feet, males are larger",4-5 years,,10-40 hatchlings,Humans,Reptile,,,,,,,,,,,,Fresh,,,,,,,,,
Chinese Paddlefish,['Asia'],Animalia,Chordata,Actinopterygii,Acipenseriformes,Polyodontidae,Psephurus,Psephurus gladius,,,Largely solitary,Unknown,Habitat changes and overfishing,The large paddle-shaped nose,Elephant fish,A few days,Rivers and estuaries,Carnivore,,,Chinese paddlefish,1.0,,,,GreySilver,Smooth,,,Up to 992lbs,Up to 7m (23ft),,,,,Ray-finned fish,,,,,,,,,,,"Fish, crabs, and shrimp",,,,,,,,,,
Chinese Shar-Pei,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,FawnRedBlackCreamSandy,Hair,,9 to 11 years,44 lbs,,,,,,,,,"Loyal, intelligent, protective",,,,,,,,,,,,,,,,,,
Chinook Salmon,['Ocean'],Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,"Crustaceans, insects, and other fish",,School,Millions,"Over fishing, habitat loss, and pollution",The silvery scales,"King salmon, spring salmon, blackmouth, Quinnat salmon, and more",3-5 months,Northern Pacific,Carnivore,,,Chinook salmon,1.0,,,,RedBlueWhiteGreenPurpleSilverDull Olive,Scales,,Up to 7 years,Up to 59kg (130lbs),Up to 1.5m (5ft),,,,"Sharks, orcas, sea lions, birds, and larger fish",Ray-finned fish,,,,,,,,,,,,Salt,,,,,,,,,
Chinstrap Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis Antarcticus,,,,,,,,,Rocky Antarctic Islands,Carnivore,2,Colony,,,,There are 7 million breeding pairs!,,GreyBlackWhite,Feathers,,15 - 20 years,3kg - 6kg (6.6lbs - 13lbs),,,,,"Leopard Seal, Killer Whale, Sea Birds",Bird,60cm - 68cm (24in - 27in),"White face and thin, black line that runs under the chin",,,,,,,,,"Krill, Fish, Shrimp",,,,,,Krill,,,,
Chipping Sparrow,['North-America'],Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,Spizella passerina,"Caterpillars, grasshoppers, other insects, some spiders",,Flock,200 million,Humans (exposure to pesticides and roaming cats),Conifer or deciduous trees,Hair bird,,Grassy woodlands,Omnivore,,,Chipping Sparrow,,,,,BrownGrey,Feathers,,,,5 inches,,,,"Domestic cats, snakes, hawks",,,14 - 16 days after hatching,,,8 to 9 inches,10 - 15 days,,,,,,,,,Conifer or deciduous trees,14 - 16 days after hatching,Insects and seeds,,,,
Christmas Island Red Crab,"['Ocean', 'Oceania']",Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Gecarcoidea,Gecarcoidea natalis,African land snail,"Larva, Megalopa",Solitary,About 44 million,"roadways, yellow crazy ant",Its brilliant red carapace,"Red crab, red land crab",Females brood eggs for a couple of weeks before releasing them into the sea.,rainforest,Omnivore,,,"Christmas Island red crab, red land crab",1.0,Indian Ocean islands of Christmas Island and Cocos Island,,swarm,RedOrange,Shell,,20-30 years,17 ounces,"Carapace 4.6 inches wide, males larger than females",4-5 years,,"up to 100,000","Fish, coconut crabs, whale sharks, manta rays and other filter feeders as well as the yellow crazy ant",crustacean,,,,,,,,,,,,,,,,mature crabs molt once a year,,,,,
Cicada,"['Africa', 'Asia', 'Europe', 'North-America', 'Oceania']",Animalia,Arthropoda,Insecta,Hemiptera,,,,,,Swarm,,,,,,Deciduous forests,Herbivore,,,,,,,,BrownRedBlueBlackWhiteGreen,Smooth,,17years,2g,,,,,,,2.8in,,,,,,,,,,,,,,,,,,,,
Cinnamon Ferret,['North-America'],Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela furo,"Mice, small rabbits, birds’ eggs",Kit,Social,Unknown,Loss of food source,"Long, slender body",Ferret,42 days,"Shrubland, grassland",Carnivore,,,Cinnamon ferret,,North America,,Social,WhiteTawnyGolden,Hair,,7-10 years,2-5 pounds,12-16 inches,6 months,3-6 weeks,3-7,"Coyotes, hawks, owls, dogs",Mammal,,,,,,,,,,,,,,,,,,,,,
Clouded Leopard,['Asia'],Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Neofelis nebulosa,"Rodents, Monkeys, Deer",Kitten,Solitary,"Less than 10,000",Hunting and habitat loss,Dark cloud-like markings and long tail,Sunda Clouded Leopard,87 - 102 days,Dense tropical forest and jungle,Carnivore,3,Nocturnal/Crepuscular,Clouded Leopard,2.0,South-east Asia,Has canines that can be two inches long!,Mammal,BrownGreyYellowBlackTawny,Fur,40 mph,11 - 17 years,11kg - 30kg (24lbs - 66lbs),60cm - 110cm (24in - 43in),2 - 3 years,9 months,,"Tigers, Leopards, Humans",,,,,,,,,,,,,,,,,,,,,,
Clumber Spaniel,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,Clumber Spaniel,,,"Has a thick, soft coat!",Gun Dog,WhiteOrange,Hair,,12 years,29kg (65lbs),,,,,,,,,,,,,,,,,,,,,,,,,,,
Coachwhip Snake,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Masticophis,Masticophis flagellum,"Rodents, bird, insects, amphibians, and lizards",,,,,,,,,Omnivore,4-24 eggs,,Coachwhip,,,,,,,,10-20 years,,3-8 feet,,,,,,,,,,,,,,No,Low,,,,,,,,,,,Dark head progressing to a light tan or white tail
Coati,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,,,,,,,,,"Forests, grasslands, desert",Omnivore,4,Band,,,,Found in dense forests and wet jungles!,,BrownGreyRedBlackWhiteTan,Fur,15 mph,8-15 years,3-8kg (6-18lbs),,,,,"Wildcats, Birds of Prey, Crocodiles",Mammal,,,,,,,,,,,"Fruit, Nuts, Small mammals and reptiles",,,,,,Fruit,,,,
Cobia Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Carangiformes,Rachycentridae,Rachycentron,Rachycentron canadum,"Fish, crabs, squid",,Largely solitary,"At least 80,000",Overfishing,Its seven to nine dorsal spines,"Black salmon, black bonito, codfish, black kingfish, prodigal son, crabeater, ling, lemonfish, cabio, sergeant fish, sergeantfish, runner, cubby yew",24 to 36 hours,"Warm to tropical oceans, mangroves, estuaries",Carnivore,,,Cobia,1.0,,,,WhiteDark Brown,Scales,,15 years,Up to 135 pounds,78 inches,,,,"Humans, sharks, mahi-mahi",Fish,,,,,,,,,,,,Salt,,,,,,,,,
Cockalier,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,,,,,,,Omnivore,,,,,,,,BrownRedBlackWhite,Hair,,12-15 years,,,,,3-6 puppies,,mammal,,,"Gentle, affectionate, and energetic",,,,,,,,,,,,,,,Spain,,,
Cockapoo,['North-America'],Animalia,,,,,,,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockatiel,['Oceania'],Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Nymphicus,Nymphicus hollandicus,Terrestrial insects,,,"Undetermined, but conservation status is least concern",Birds of prey,Its cheek patches,"Weiro bird, quarrion",,"Scrub, bush, wetlands",Herbivore,,,Cockatiel,1.0,Australia,,,GreyYellowWhiteOrange,Feathers,43 mph,"As long as 35 years, average between 15 and 25 or longer in captivity",3.17 ounces,9.84 to 13.8 inches,,,Five,Raptors,Bird,,,,,11.8 to 13.7 inches,17 to 23 days,,5.0,,,,,,,Tree cavities,Three to five weeks,,,,,
Cockatoo,"['Asia', 'Oceania']",Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,,,,Chicks or hatchlings,Flock,,,Crest of feathers on the head,,,"Forests, groves, and plains",Omnivore,,,Cockatoo,,"Australia, New Guinea, Philippines, Indonesia, and Pacific islands","Highly social, smart, and chatty bird.",Birds,,Feathers,,20 to 70 years in the wild,"300g – 1,200g (0.66lbs – 2.65lbs)",30cm - 76cm (12in - 30in),3 to 7 years,,,"Falcons, eagles, owls, snakes, and cats",,,,,,Varies,,,,,,,,,,,,"Fruits, seeds, and tubers",,,,
Cocker Spaniel,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockroach,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America']",Animalia,Arthropoda,Insecta,Blattaria,,,Blattaria,They will eat anything but love sugar and fatty foods.,eggs,Solitary/Group,Billions,"Humans, habitat destruction, and animals who are scavengers.",Long antennae and dark body.,Roach,28 days,"Dark, moist, dirty places.",Omnivore,40,Nocturnal,Cockroach,4000.0,Worldwide,Dated to be around 300 million years old!,,BrownGreyYellowBlackTanCaramel,Shell,,1.5 years,30 grams,4 cm,4-6 months,,,"Spiders, Birds, Mammals",,35-41 mm,,,,3 inches,,,,,,Decaying Organic Matter,,,16-18 eggs,,,Decaying Organic Matter,"Carboniferous period, some 300-350 million years ago",,,
Coelacanth,"['Critically Endangered', 'Vulnerable']",Animalia,Chordata,Sarcopterygii,Coelacanthiformes,Latimeriidae,Latimeria,Coelacanthiformes,Ceephalopods and fish,,Solitary,Hundreds or thousands,Bycatch,Loped fin,Latimeria,Unknown,Oceans,Carnivore,,,Coelacanth,2.0,,,,BrownGreyBlue,Scales,,More than 20 years,Up to 200lbs,Up to 6.5 feet,,,,Possibly sharks,Lobe-finned fish,,,,,,,,,,,,Salt,,,,,,,,Unknown,
