name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_scientific_name,characteristics_prey,characteristics_name_of_young,characteristics_group_behavior,characteristics_estimated_population_size,characteristics_biggest_threat,characteristics_most_distinctive_feature,characteristics_other_name(s),characteristics_gestation_period,characteristics_habitat,characteristics_diet,characteristics_average_litter_size,characteristics_lifestyle,characteristics_common_name,characteristics_number_of_species,characteristics_location,characteristics_slogan,characteristics_group,characteristics_color,characteristics_skin_type,characteristics_top_speed,characteristics_lifespan,characteristics_weight,characteristics_length,characteristics_age_of_sexual_maturity,characteristics_age_of_weaning,characteristics_litter_size,characteristics_predators,characteristics_type,characteristics_height,characteristics_distinctive_feature,characteristics_temperament,characteristics_training,characteristics_wingspan,characteristics_incubation_period,characteristics_age_of_fledgling,characteristics_average_clutch_size,characteristics_venomous,characteristics_aggression,characteristics_main_prey,characteristics_water_type,characteristics_age_of_independence,characteristics_average_spawn_size,characteristics_nesting_location,characteristics_age_of_molting,characteristics_favorite_food,characteristics_origin,characteristics_migratory,characteristics_optimum_ph_level,characteristics_special_features,coordenadas
Pocket Pitbull,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Flattened face with a bulky neck and large head.,Unknown,Unknown,Unknown,Omnivore,2-9,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,BrownFawnRedBlueBlackTanBrindleChocolate,Unknown,Unknown,11-13 years.,11-22 pounds.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,12-16 inches.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Dissotrocha,Dissotrocha bjoerki,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella cristata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Dapple Dachshund,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,RedBlueBlackTanCreamSilverChocolate,Hair,Unknown,12 to 16 years,16 to 32 pounds (standards); 11 pounds or less (miniature),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Friendly, courageous, independent",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Indian Palm Squirrel,"['Asia', 'Ocean']",Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Funambulus,Funambulus Palmarum,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Thick forest and tropical jungles,Omnivore,3,Solitary,Unknown,Unkown,Unknown,Natively found in parts of India and Sri Lanka!,Unknown,BrownYellowTan,Fur,10 mph,2-4 years,100-120g (3.5-4.2oz),Unknown,Unknown,Unknown,Unknown,"Human, Snakes, Wildcats",Mammal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Eggs, Fruit, Insects",Unknown,Unknown,Unknown,Unknown,Unknown,Eggs,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinavidae,Henoceros,Henoceros falcatus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha puella,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Chipmunk,"['Eurasia', 'North-America']",Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Forest and thick woodland,Omnivore,5,Solitary,Unknown,Unkown,Unknown,There are 25 different species!,Unknown,BrownYellowBlackBeige,Fur,21 mph,4 - 8 years,57g - 113g (2oz - 4oz),Unknown,Unknown,Unknown,Unknown,"Human, Hawks, Raccoon",Mammal,10cm - 18cm (4in - 7in),Stripes on fur and large front teeth,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Nuts, Fruit, Seeds, Berries",Unknown,Unknown,Unknown,Unknown,Unknown,Nuts,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella deridderae,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Pleuretra,Pleuretra bovicornis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Takin,['Asia'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas,Budorcas taxicolor,Unknown,Calves,Herd,"7,000-12,000",Habitat loss and hunting,The curved horns and shaggy coat,Cattle chamois and gnu goat,7–8 months,Alpine mountains and valleys,Herbivore,Unknown,Unknown,Takin,1.0,Eastern Himalayas,Unknown,Unknown,BrownGreyYellowBlackWhiteGold,Hair,Unknown,Up to 20 years,Up to 350kg (770lbs),1.5-2.2m (5-7.3ft),30 months,1-2 months,1 (rarely 2),"Wolves, leopards, dholes, and bears",Hoofed Mammal,1-1.14m (3.3-4.5ft),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Leaves, grasses, herbs, and twigs",Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha iners,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha granulata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina proterva,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Flying Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Beloniformes,Exocoetidae,Unknown,Unknown,"Plankton, crustaceans, and fish",Unknown,School,Unknown,Overfishing,Wing-like fins,Flying cod,Varies,Oceans,Omnivore,Unknown,Unknown,Flying fish,40.0,Unknown,Unknown,Unknown,BlueBlackWhiteSilver,Scales,35 mph,5 years on average,Up to 2lbs,15cm – 51cm (6in – 20in),Unknown,Unknown,Unknown,"Marlins, tuna, squid, porpoises, birds, and humans",Ray fin fish,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Salt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Spanish Mastiff,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,YellowFawnRedBlackBrindle,Hair,Unknown,10 to 12 years,220 lbs.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Affectionate, laid-back, independent",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Mniobia,Mniobia conarus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Dissotrocha,Dissotrocha macrostyla,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha cucullata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
LaMancha Goat,['North-America'],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,Unknown,"Buckling, doeling, yearling",Herd,Unknown,Predators,Tiny ears,American Lamancha,150 days,"Farms, pastures",Herbivore,Unknown,Unknown,LaMancha Goat,1.0,U.S.,Unknown,Artiodactyl,BrownGreyBlackWhite,Hair,Unknown,7 to 10 years,"Average 150 to 165 for males, 125 to 130 for females",3 to 3 ½ feet,9 months to 1 year,3 weeks,1 to 3,"Wild dogs, cougars, wolves, raptors",Unknown,2 to 3 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Philodina,Philodina cristata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Dicranophoridae,Pedipartia,Pedipartia gracilis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
King Penguin,"['Antarctica', 'Ocean']",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rocky Antarctic Islands,Carnivore,1,Colony,Unknown,Unkown,Unknown,More than 2 million breeding pairs!,Unknown,GreyYellowBlackWhite,Feathers,Unknown,15 - 20 years,11kg - 16kg (24lbs - 35lbs),Unknown,Unknown,Unknown,Unknown,"Leopard Seal, Killer Whale, Sharks",Bird,60cm - 90cm (24in - 35in),Large body size with yellow markings on head,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Krill, Fish, Shrimp",Unknown,Unknown,Unknown,Unknown,Unknown,Krill,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Hexarthridae,Hexarthra,Hexarthra polychaeta,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Griffon Vulture,"['Africa', 'Asia', 'Eurasia', 'Europe']",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,Gyps fulvus,"Sheep, cows, other mammals",Unknown,Unknown,"80,000-900,000",Poisoning of livestock,Finger-shaped feathers,Eurasian griffon,Unknown,"Mountains, shrublands, cliffs",Carnivore,Unknown,Unknown,Griffon vulture,3.0,"Africa, Asia, Europe",Unknown,Unknown,BrownWhite,Feathers,46 mph,Up to 37 years,13lbs - 24lbs,37in – 48 in,Unknown,Unknown,1,Humans,Bird,Unknown,Unknown,Unknown,Unknown,8-9 feet,55 days,Unknown,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Cliff areas,3.5 months,Unknown,Unknown,1.0,Unknown,Unknown,
Coachwhip Snake,"['Central-America', 'North-America', 'South-America']",Animalia,Chordata,Reptilia,Squamata,Colubridae,Masticophis,Masticophis flagellum,"Rodents, bird, insects, amphibians, and lizards",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,4-24 eggs,Unknown,Coachwhip,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10-20 years,Unknown,3-8 feet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dark head progressing to a light tan or white tail,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella zigzag,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella ovalis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,[],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Habrotrochidae,Habrotrocha,Habrotrocha lata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Sinantherina,Sinantherina procera,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Red Fox,"['Africa', 'Asia', 'Europe', 'North-America', 'Oceania']",Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,"Rabbits, mice, voles, birds, frogs, fish, eggs, and fruits and vegetables",Kits or pups,Family units,Millions,Hunting,The bushy tail,Silver fox or cross fox,49-55 days,"Forests, grasslands, tundra, prairie, deserts, and mountains",Omnivore,1-13,Unknown,Red fox,1.0,"North America, Europe, Asia, North Africa, and Australia",Unknown,Unknown,BrownGreyRedBlackSilver,Hair,31 mph,"2-4 years in the wild, 10-12 in captivity",6.5-24 lbs,36-42 inches,10 months,56-70 days,1-13,"Wolves, cougars, lynxes, bobcats, eagles, and owls",Unknown,16 inches,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Geoffroys Tamarin,"['Central-America', 'South-America']",Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus Geoffroyi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Lowland tropical forest,Omnivore,2,Troop,Unknown,Unkown,Unknown,Has distinctive V shape on head!,Unknown,BrownGreyBlackWhite,Fur,24 mph,8 - 15 years,220g - 900g (7.7oz - 32oz),18cm - 30cm (7in - 12in),Unknown,Unknown,Unknown,"Hawks, Snakes, Wild Cats",Mammal,Unknown,"Small body size and long, thin tail",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Fruit, Insects, Rodents",Unknown,Unknown,Unknown,Unknown,Unknown,Fruit,Unknown,Unknown,Unknown,Unknown,
Australian Kelpie Dog,['Oceania'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Omnivore,5,Unknown,Australian Kelpie Dog,Unkown,Unknown,"Friendly, intelligent and energetic!",Herd Dog,BrownRedBlackTan,Hair,Unknown,10 to 13 years,25 to 45 pounds,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,17 to 20 inches,Unknown,Alert and intelligent,Should be trained from an early age and should be firm but fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella ovalis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Jumping Spider,"['Africa', 'Asia', 'Central-America', 'Europe', 'North-America', 'South-America']",Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Unknown,Unknown,"Other spiders, insects, baby lizards",Spiderling,Solitary,billions,"Pesticides, climate change",Their large eyes,Unknown,Two to three weeks,"Tropical and temperate forests, intertidal zones, mountains, deserts, scrubland, fields, human habitation",Carnivore,Unknown,Unknown,Jumping spider,6000.0,"Africa, Asia, Europe, North America, Central America, South America",Unknown,Unknown,BrownGreyYellowRedBlueBlackWhiteTanGreen,Unknown,12.43 mph,six months to two years,Unknown,0.2 to 0.98 inches,"In the first spring and summer of life, or around the sixth to eighth molt",38 days in the case of Toxeus magnus,30 to 600,"Mantises, spider wasps, mammals, birds, lizards other spiders",arachnid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Leonberger,['Europe'],Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Unknown,puppy,Unknown,Unknown,Unknown,the dog's temperament,Unknown,Unknown,Unknown,Omnivore,6 puppies,Unknown,Leonberger,Unkown,Unknown,Unknown,Unknown,YellowRedSandy,Hair,16 mph,8-9 years,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,mammal,Unknown,Unknown,gentle and calm,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Ploima,Lepadellidae,Lepadella,Lepadella salisburii,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Flosculariaceae,Flosculariidae,Ptygura,Ptygura tridorsicornis,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
Unknown,Unknown,Animalia,Rotifera,Eurotatoria,Bdelloidea,Philodinidae,Macrotrachela,Macrotrachela aculeata,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,['FRESHWATER'],Unknown,Unknown,Unknown,Unknown,Unkown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
